N,S,D,T,puV2est
0,3,1,18,1
0,3,1,19,1
0,3,1,20,1
0,3,1,21,1
0,3,1,22,1
0,3,1,23,1
0,3,1,24,1
0,3,2,1,1
0,3,2,2,1
0,3,2,3,1
0,3,2,4,1
0,3,2,5,1
0,3,2,6,1
0,3,2,7,1
0,3,2,8,1
0,3,2,9,1
0,3,2,10,1
0,3,2,11,1
0,3,2,12,1
0,3,2,13,1
0,3,2,14,1
0,3,2,15,1
0,3,2,16,1
0,3,2,17,1
0,3,2,18,1
0,3,2,19,1
0,3,2,20,1
0,3,2,21,1
0,3,2,22,1
0,3,2,23,1
0,3,2,24,1
0,3,3,1,1
0,3,3,2,1
0,3,3,3,1
0,3,3,4,1
0,3,3,5,1
0,3,3,6,1
0,3,3,7,1
0,3,3,8,1
0,3,3,9,1
0,3,3,10,1
0,3,3,11,1
0,3,3,12,1
0,3,3,13,1
0,3,3,14,1
0,3,3,15,1
0,3,3,16,1
0,3,3,17,1
0,3,3,18,1
0,3,3,19,1
0,3,3,20,1
0,3,3,21,1
0,3,3,22,1
0,3,3,23,1
0,3,3,24,1
1,1,1,1,0.9994343982592845
1,1,1,2,0.9993275747634658
1,1,1,3,0.9991919656135151
1,1,1,4,0.9990469020691153
1,1,1,5,0.9988597404894309
1,1,1,6,0.9981292331819513
1,1,1,7,0.9990410898353463
1,1,1,8,0.9992077622077962
1,1,1,9,0.9994795229570759
1,1,1,10,0.999764139796219
1,1,1,11,0.9999058950336142
1,1,1,12,0.9999091592398915
1,1,1,13,0.9998906590700982
1,1,1,14,0.9998663570763997
1,1,1,15,0.9998296215031406
1,1,1,16,0.9997099136322669
1,1,1,17,0.9995189071919635
1,1,1,18,0.9995410069313514
1,1,1,19,0.9994308487858039
1,1,1,20,0.9990914986396539
1,1,1,21,0.9991031940104746
1,1,1,22,0.9992260639083181
1,1,1,23,0.999375555787162
1,1,1,24,0.9994374518057451
1,1,2,1,0.9995827678219836
1,1,2,2,0.9995936141735838
1,1,2,3,0.9996766701509685
1,1,2,4,0.999695630265483
1,1,2,5,0.9997030705863047
1,1,2,6,0.9996224733489588
1,1,2,7,0.9999047878777945
1,1,2,8,0.9999011659605639
1,1,2,9,0.9998960106073203
1,1,2,10,0.999896311438945
1,1,2,11,0.999858686045666
1,1,2,12,0.9997857026680682
1,1,2,13,0.9996474087435395
1,1,2,14,0.9995248403966229
1,1,2,15,0.9997759624645685
1,1,2,16,0.9998520936814363
1,1,2,17,0.9998426503574516
1,1,2,18,0.9998382389541344
1,1,2,19,0.9997449865119803
1,1,2,20,0.9992430593557592
1,1,2,21,0.999282435643663
1,1,2,22,0.9993058357643263
1,1,2,23,0.9994614740607146
1,1,2,24,0.9995442638065105
1,1,3,1,0.9990830682601843
1,1,3,2,0.9991080126511208
1,1,3,3,0.9992828148856391
1,1,3,4,0.9993451055939133
1,1,3,5,0.9994082523153224
1,1,3,6,0.9991236216563109
1,1,3,7,0.9991799250643041
1,1,3,8,0.9991181828311516
1,1,3,9,0.9991512498746631
1,1,3,10,0.999139452234978
1,1,3,11,0.9992029493191973
1,1,3,12,0.9993726483555443
1,1,3,13,0.9992950142864861
1,1,3,14,0.9992537974711648
1,1,3,15,0.9994179314862378
1,1,3,16,0.9992750715386662
1,1,3,17,0.9990893339004434
1,1,3,18,0.9991458003029754
1,1,3,19,0.999154325651184
1,1,3,20,0.9986006046844562
1,1,3,21,0.9987597409074112
1,1,3,22,0.9988996619972381
1,1,3,23,0.9991870041619632
1,1,3,24,0.9992698184567118
1,2,1,1,0.9994343982592845
1,2,1,2,0.9993275747634658
1,2,1,3,0.9991919656135151
1,2,1,4,0.9990469020691153
1,2,1,5,0.9988597404894309
1,2,1,6,0.9978858605159606
1,2,1,7,0.9987965941380211
1,2,1,8,0.9992068646178406
1,2,1,9,0.9994794206739658
1,2,1,10,0.9997641174100853
1,2,1,11,0.9999058963321783
1,2,1,12,0.9999091585819108
1,2,1,13,0.9998906622050172
1,2,1,14,0.9998663604908138
1,2,1,15,0.9998296230680296
1,2,1,16,0.9997098701067817
1,2,1,17,0.9995188108930596
1,2,1,18,0.999540150374673
1,2,1,19,0.9994308487858039
1,2,1,20,0.9990914986396539
1,2,1,21,0.9991031940104746
1,2,1,22,0.9992260639083181
1,2,1,23,0.999375555787162
1,2,1,24,0.9994374518057451
1,2,2,1,0.9995827678219836
1,2,2,2,0.9995936141735838
1,2,2,3,0.9996766701509685
1,2,2,4,0.999695630265483
1,2,2,5,0.9997030705863047
1,2,2,6,0.9993913228850296
1,2,2,7,0.9996712774206192
1,2,2,8,0.9999012016373843
1,2,2,9,0.9998959770900042
1,2,2,10,0.999896267581127
1,2,2,11,0.9998586809801407
1,2,2,12,0.9997856997575182
1,2,2,13,0.9996473897856275
1,2,2,14,0.9995248040120149
1,2,2,15,0.9997759444016573
1,2,2,16,0.9998520653600088
1,2,2,17,0.9998426150691323
1,2,2,18,0.9998382135627595
1,2,2,19,0.9997449865119803
1,2,2,20,0.9992430593557592
1,2,2,21,0.999282435643663
1,2,2,22,0.9993058357643263
1,2,2,23,0.9994614740607146
1,2,2,24,0.9995442638065105
1,2,3,1,0.9990830682601843
1,2,3,2,0.9991080126511208
1,2,3,3,0.9992828148856391
1,2,3,4,0.9993451055939133
1,2,3,5,0.9994082523153224
1,2,3,6,0.9988885486650454
1,2,3,7,0.9989372487650815
1,2,3,8,0.9991171539375554
1,2,3,9,0.9991510970875195
1,2,3,10,0.999139545750416
1,2,3,11,0.9992028796509121
1,2,3,12,0.999372626130978
1,2,3,13,0.9992949622648986
1,2,3,14,0.9992537271501949
1,2,3,15,0.999417784666076
1,2,3,16,0.9992749974952836
1,2,3,17,0.999089156569286
1,2,3,18,0.9991437888765573
1,2,3,19,0.999154325651184
1,2,3,20,0.9986006046844562
1,2,3,21,0.9987597409074112
1,2,3,22,0.9988996619972381
1,2,3,23,0.9991870041619632
1,2,3,24,0.9992698184567118
1,3,1,1,0.9994343982592845
1,3,1,2,0.9993275747634658
1,3,1,3,0.9991919656135151
1,3,1,4,0.9990469020691153
1,3,1,5,0.9988597404894309
1,3,1,6,0.9978858605159606
1,3,1,7,0.9986187314443085
1,3,1,8,0.9992056757853895
1,3,1,9,0.9994793519704165
1,3,1,10,0.9996484854878698
1,3,1,11,0.9999058068921642
1,3,1,12,0.999909081009667
1,3,1,13,0.9996838114844192
1,3,1,14,0.9998500642772113
1,3,1,15,0.9998294680514724
1,3,1,16,0.999709284869993
1,3,1,17,0.9991514296120071
1,3,1,18,0.9993515360595535
1,3,1,19,0.9991983681453447
1,3,1,20,0.9990914986396539
1,3,1,21,0.9991031940104746
1,3,1,22,0.9992260639083181
1,3,1,23,0.999375555787162
1,3,1,24,0.9994374518057451
1,3,2,1,0.9995827678219836
1,3,2,2,0.9995936141735838
1,3,2,3,0.9996766701509685
1,3,2,4,0.999695630265483
1,3,2,5,0.9997030705863047
1,3,2,6,0.9993913228850296
1,3,2,7,0.9994985379185737
1,3,2,8,0.9999011451898239
1,3,2,9,0.9998959755873055
1,3,2,10,0.9997817114634909
1,3,2,11,0.9998584360689731
1,3,2,12,0.9997852465760696
1,3,2,13,0.9994378937043675
1,3,2,14,0.9995065718767746
1,3,2,15,0.9997756199000045
1,3,2,16,0.9998519603416909
1,3,2,17,0.9994811771567262
1,3,2,18,0.9996523032840672
1,3,2,19,0.999515031314694
1,3,2,20,0.9992430593557592
1,3,2,21,0.999282435643663
1,3,2,22,0.9993058357643263
1,3,2,23,0.9994614740607146
1,3,2,24,0.9995442638065105
1,3,3,1,0.9990830682601843
1,3,3,2,0.9991080126511208
1,3,3,3,0.9992828148856391
1,3,3,4,0.9993451055939133
1,3,3,5,0.9994082523153224
1,3,3,6,0.9988885486650454
1,3,3,7,0.9987602395881825
1,3,3,8,0.9991158104793761
1,3,3,9,0.9991509727511348
1,3,3,10,0.9990186467415955
1,3,3,11,0.9992002517501468
1,3,3,12,0.9993708299859857
1,3,3,13,0.999081545884467
1,3,3,14,0.9992339337085425
1,3,3,15,0.9994162695449316
1,3,3,16,0.9992729455709732
1,3,3,17,0.9987136273653632
1,3,3,18,0.9989514970391231
1,3,3,19,0.9989195600205463
1,3,3,20,0.9986006046844562
1,3,3,21,0.9987597409074112
1,3,3,22,0.9988996619972381
1,3,3,23,0.9991870041619632
1,3,3,24,0.9992698184567118
2,1,1,1,0.9971107072701708
2,1,1,2,0.9965201276033567
2,1,1,3,0.9957783675543669
2,1,1,4,0.9950016712797853
2,1,1,5,0.9938609073105154
2,1,1,6,0.9892103763210968
2,1,1,7,0.9948028968463012
2,1,1,8,0.9957009011534816
2,1,1,9,0.9972669116254195
2,1,1,10,0.998887797248823
2,1,1,11,0.9996895920484202
2,1,1,12,0.9997097106546708
2,1,1,13,0.9996340505031409
2,1,1,14,0.9995566139767
2,1,1,15,0.9994345846220284
2,1,1,16,0.9987206268683372
2,1,1,17,0.9977290469519725
2,1,1,18,0.9978935977790054
2,1,1,19,0.9968593489577843
2,1,1,20,0.9950738169712653
2,1,1,21,0.9952720326388981
2,1,1,22,0.9960015601076359
2,1,1,23,0.9968647001747399
2,1,1,24,0.9971960659269762
2,1,2,1,0.9978859391225013
2,1,2,2,0.9979212235670518
2,1,2,3,0.9983419218396744
2,1,2,4,0.9984383239635323
2,1,2,5,0.9984293708773377
2,1,2,6,0.9977832957857767
2,1,2,7,0.9997615787476076
2,1,2,8,0.9997098386610421
2,1,2,9,0.9996777995138822
2,1,2,10,0.9996557748589057
2,1,2,11,0.9994154586950177
2,1,2,12,0.9989940957150789
2,1,2,13,0.9982181009181961
2,1,2,14,0.9975658410244121
2,1,2,15,0.9991222613532147
2,1,2,16,0.999546519559479
2,1,2,17,0.9995932387610438
2,1,2,18,0.9995930521522467
2,1,2,19,0.9985953478230867
2,1,2,20,0.9959013465192581
2,1,2,21,0.996226422941624
2,1,2,22,0.9964193158253477
2,1,2,23,0.9973047042924936
2,1,2,24,0.9977405445074436
2,1,3,1,0.9952727570083708
2,1,3,2,0.9953624177222429
2,1,3,3,0.9962593441913338
2,1,3,4,0.9965828230493827
2,1,3,5,0.9968342958956325
2,1,3,6,0.9949238624673822
2,1,3,7,0.995600866416056
2,1,3,8,0.9951823999977714
2,1,3,9,0.9953646579405153
2,1,3,10,0.9952542662395532
2,1,3,11,0.9956039601848833
2,1,3,12,0.9965980130128504
2,1,3,13,0.9961651552075012
2,1,3,14,0.9959845836241201
2,1,3,15,0.9970372131358212
2,1,3,16,0.9961926764209093
2,1,3,17,0.9952526551907783
2,1,3,18,0.9956314746297095
2,1,3,19,0.9953293934340228
2,1,3,20,0.9923896810530243
2,1,3,21,0.9934408675859789
2,1,3,22,0.9942904787136704
2,1,3,23,0.9958984303819265
2,1,3,24,0.9963409910334378
2,2,1,1,0.9971107072701708
2,2,1,2,0.9965201276033567
2,2,1,3,0.9957783675543669
2,2,1,4,0.9950016712797853
2,2,1,5,0.9938609073105154
2,2,1,6,0.9878633578619173
2,2,1,7,0.9930095268931081
2,2,1,8,0.9956952247148839
2,2,1,9,0.9972662671295652
2,2,1,10,0.9988876587989716
2,2,1,11,0.9996896001664133
2,2,1,12,0.9997097065404693
2,2,1,13,0.9996340700968571
2,2,1,14,0.999556635306503
2,2,1,15,0.9993790070094963
2,2,1,16,0.9987203540018189
2,2,1,17,0.9977284409845688
2,2,1,18,0.9977186701287618
2,2,1,19,0.9968593489577843
2,2,1,20,0.9950738169712653
2,2,1,21,0.9952720326388981
2,2,1,22,0.9960015601076359
2,2,1,23,0.9968647001747399
2,2,1,24,0.9971960659269762
2,2,2,1,0.9978859391225013
2,2,2,2,0.9979212235670518
2,2,2,3,0.9983419218396744
2,2,2,4,0.9984383239635323
2,2,2,5,0.9984293708773377
2,2,2,6,0.9965128242689507
2,2,2,7,0.9980384141511315
2,2,2,8,0.9997100616896383
2,2,2,9,0.9996775900335907
2,2,2,10,0.9996555007452645
2,2,2,11,0.9994154265737725
2,2,2,12,0.9989940773428613
2,2,2,13,0.9982179808497819
2,2,2,14,0.9975656107801445
2,2,2,15,0.9990665548214794
2,2,2,16,0.9995463426823923
2,2,2,17,0.9995930184427798
2,2,2,18,0.9994235988286782
2,2,2,19,0.9985953478230867
2,2,2,20,0.9959013465192581
2,2,2,21,0.996226422941624
2,2,2,22,0.9964193158253477
2,2,2,23,0.9973047042924936
2,2,2,24,0.9977405445074436
2,2,3,1,0.9952727570083708
2,2,3,2,0.9953624177222429
2,2,3,3,0.9962593441913338
2,2,3,4,0.9965828230493827
2,2,3,5,0.9968342958956325
2,2,3,6,0.9936288531124434
2,2,3,7,0.9938191174157736
2,2,3,8,0.9951758939019076
2,2,3,9,0.9953636939952563
2,2,3,10,0.9952548599381444
2,2,3,11,0.9956035195969848
2,2,3,12,0.9965978725198232
2,2,3,13,0.9961648261403833
2,2,3,14,0.9959841388895256
2,2,3,15,0.9969805950361401
2,2,3,16,0.9961922108539438
2,2,3,17,0.9952515371878025
2,2,3,18,0.9954489532594164
2,2,3,19,0.9953293934340228
2,2,3,20,0.9923896810530243
2,2,3,21,0.9934408675859789
2,2,3,22,0.9942904787136704
2,2,3,23,0.9958984303819265
2,2,3,24,0.9963409910334378
2,3,1,1,0.9971107072701708
2,3,1,2,0.9965201276033567
2,3,1,3,0.9957783675543669
2,3,1,4,0.9950016712797853
2,3,1,5,0.9938609073105154
2,3,1,6,0.9878633578619173
2,3,1,7,0.992028430908301
2,3,1,8,0.9956877143809387
2,3,1,9,0.9972658332307555
2,3,1,10,0.9978144689278975
2,3,1,11,0.9993514807104049
2,3,1,12,0.9993985586805282
2,3,1,13,0.9980313223195024
2,3,1,14,0.9989030218757664
2,3,1,15,0.9990842506548104
2,3,1,16,0.9984145537827667
2,3,1,17,0.9949614180890478
2,3,1,18,0.9961144961213142
2,3,1,19,0.995580751230145
2,3,1,20,0.9950738169712653
2,3,1,21,0.9952720326388981
2,3,1,22,0.9960015601076359
2,3,1,23,0.9968647001747399
2,3,1,24,0.9971960659269762
2,3,2,1,0.9978859391225013
2,3,2,2,0.9979212235670518
2,3,2,3,0.9983419218396744
2,3,2,4,0.9984383239635323
2,3,2,5,0.9984293708773377
2,3,2,6,0.9965128242689507
2,3,2,7,0.9970894018651159
2,3,2,8,0.999709708815675
2,3,2,9,0.9996775806418208
2,3,2,10,0.9985892364741649
2,3,2,11,0.9990762818068321
2,3,2,12,0.9986804479791187
2,3,2,13,0.9965982902309691
2,3,2,14,0.9968993082310776
2,3,2,15,0.9987706791015453
2,3,2,16,0.9992437187357915
2,3,2,17,0.9968640599293946
2,3,2,18,0.9978368365441163
2,3,2,19,0.9973324547407162
2,3,2,20,0.9959013465192581
2,3,2,21,0.996226422941624
2,3,2,22,0.9964193158253477
2,3,2,23,0.9973047042924936
2,3,2,24,0.9977405445074436
2,3,3,1,0.9952727570083708
2,3,3,2,0.9953624177222429
2,3,3,3,0.9962593441913338
2,3,3,4,0.9965828230493827
2,3,3,5,0.9968342958956325
2,3,3,6,0.9936288531124434
2,3,3,7,0.9928433845059843
2,3,3,8,0.9951674060874668
2,3,3,9,0.995362908726458
2,3,3,10,0.9941477632273091
2,3,3,11,0.9952487907477844
2,3,3,12,0.9962754633327963
2,3,3,13,0.9945200433189607
2,3,3,14,0.9953075840529308
2,3,3,15,0.99667695765006
2,3,3,16,0.9958767213887659
2,3,3,17,0.992432356879724
2,3,3,18,0.9938211054022767
2,3,3,19,0.9940365900958112
2,3,3,20,0.9923896810530243
2,3,3,21,0.9934408675859789
2,3,3,22,0.9942904787136704
2,3,3,23,0.9958984303819265
2,3,3,24,0.9963409910334378
3,1,1,1,0.9958476063759202
3,1,1,2,0.9949618710860921
3,1,1,3,0.9938543702037456
3,1,1,4,0.9927080049920285
3,1,1,5,0.9910781312836455
3,1,1,6,0.9847544406707024
3,1,1,7,0.993068651171801
3,1,1,8,0.994286315912896
3,1,1,9,0.9964054092815261
3,1,1,10,0.9985917879745622
3,1,1,11,0.9996742263685129
3,1,1,12,0.9996993362714056
3,1,1,13,0.9996179545627866
3,1,1,14,0.9995424255262151
3,1,1,15,0.9992566563527604
3,1,1,16,0.998313656876354
3,1,1,17,0.997115850152238
3,1,1,18,0.9973755655476197
3,1,1,19,0.995684516672402
3,1,1,20,0.9928613569538774
3,1,1,21,0.9931224282868609
3,1,1,22,0.994215352262158
3,1,1,23,0.9955140004591809
3,1,1,24,0.9960073934302632
3,1,2,1,0.9969617827557538
3,1,2,2,0.9969880494763665
3,1,2,3,0.9975805281244678
3,1,2,4,0.9977143269659866
3,1,2,5,0.9977121726549155
3,1,2,6,0.9969723784826909
3,1,2,7,1.0000951642052585
3,1,2,8,0.9999501898263771
3,1,2,9,0.9997928221739009
3,1,2,10,0.9996692136644354
3,1,2,11,0.9992892963139139
3,1,2,12,0.9986934731365298
3,1,2,13,0.9976257025519069
3,1,2,14,0.9967304772156524
3,1,2,15,0.998814570178714
3,1,2,16,0.9994859719699846
3,1,2,17,0.9997668101663166
3,1,2,18,0.9997969831667189
3,1,2,19,0.9981849527959534
3,1,2,20,0.9940604132637164
3,1,2,21,0.994510057980763
3,1,2,22,0.9948196745135266
3,1,2,23,0.9961442094337964
3,1,2,24,0.9967840353484463
3,1,3,1,0.9932041602477535
3,1,3,2,0.9932864632385154
3,1,3,3,0.9945538911603108
3,1,3,4,0.9950125407058408
3,1,3,5,0.9953977570688606
3,1,3,6,0.9929028182050453
3,1,3,7,0.9942004886255131
3,1,3,8,0.9935530123632028
3,1,3,9,0.9937299705533057
3,1,3,10,0.9934889721616944
3,1,3,11,0.993932442428948
3,1,3,12,0.9953231851120149
3,1,3,13,0.9947348773377797
3,1,3,14,0.9944951264498723
3,1,3,15,0.995861643726595
3,1,3,16,0.9947225871019965
3,1,3,17,0.9935907694765073
3,1,3,18,0.9941494476186646
3,1,3,19,0.9934790284083755
3,1,3,20,0.9889684377154174
3,1,3,21,0.990457915397721
3,1,3,22,0.991738608557562
3,1,3,23,0.994129479163679
3,1,3,24,0.9947872631028211
3,2,1,1,0.9958476063759202
3,2,1,2,0.9949618710860921
3,2,1,3,0.9938543702037456
3,2,1,4,0.9927080049920285
3,2,1,5,0.9910781312836455
3,2,1,6,0.9827086406342235
3,2,1,7,0.9902457838905034
3,2,1,8,0.9943803705792684
3,2,1,9,0.9965765999061542
3,2,1,10,0.9987402816520597
3,2,1,11,0.999674234552928
3,2,1,12,0.9996993271487442
3,2,1,13,0.9996175465356181
3,2,1,14,0.9995422168773572
3,2,1,15,0.9992218784158532
3,2,1,16,0.9984160681558115
3,2,1,17,0.9971596669100233
3,2,1,18,0.9972770119077657
3,2,1,19,0.995684516672402
3,2,1,20,0.9928613569538774
3,2,1,21,0.9931224282868609
3,2,1,22,0.994215352262158
3,2,1,23,0.9955140004591809
3,2,1,24,0.9960073934302632
3,2,2,1,0.9969617827557538
3,2,2,2,0.9969880494763665
3,2,2,3,0.9975805281244678
3,2,2,4,0.9977143269659866
3,2,2,5,0.9977121726549155
3,2,2,6,0.995047011848047
3,2,2,7,0.9973828526214356
3,2,2,8,1.0000525052676452
3,2,2,9,0.9999633789687606
3,2,2,10,0.9998170354150954
3,2,2,11,0.9992892602377134
3,2,2,12,0.998693465194144
3,2,2,13,0.9976251521037006
3,2,2,14,0.9967300143459018
3,2,2,15,0.9987796876707782
3,2,2,16,0.9995880978065531
3,2,2,17,0.9998106674804834
3,2,2,18,0.9997061822149821
3,2,2,19,0.9981849527959534
3,2,2,20,0.9940604132637164
3,2,2,21,0.994510057980763
3,2,2,22,0.9948196745135266
3,2,2,23,0.9961442094337964
3,2,2,24,0.9967840353484463
3,2,3,1,0.9932041602477535
3,2,3,2,0.9932864632385154
3,2,3,3,0.9945538911603108
3,2,3,4,0.9950125407058408
3,2,3,5,0.9953977570688606
3,2,3,6,0.9909388898618097
3,2,3,7,0.9913959271194283
3,2,3,8,0.9936458890287456
3,2,3,9,0.9939017175063641
3,2,3,10,0.9936407918502722
3,2,3,11,0.9939319754464492
3,2,3,12,0.9953230876518191
3,2,3,13,0.9947341132527324
3,2,3,14,0.9944944464933191
3,2,3,15,0.9958259918661055
3,2,3,16,0.9948260086735747
3,2,3,17,0.9936345369618583
3,2,3,18,0.9940400870572552
3,2,3,19,0.9934790284083755
3,2,3,20,0.9889684377154174
3,2,3,21,0.990457915397721
3,2,3,22,0.991738608557562
3,2,3,23,0.994129479163679
3,2,3,24,0.9947872631028211
3,3,1,1,0.9958476063759202
3,3,1,2,0.9949618710860921
3,3,1,3,0.9938543702037456
3,3,1,4,0.9927080049920285
3,3,1,5,0.9910781312836455
3,3,1,6,0.9827086406342235
3,3,1,7,0.9887575483957447
3,3,1,8,0.9943088817132187
3,3,1,9,0.9966050588499528
3,3,1,10,0.9971955905378818
3,3,1,11,0.9993874877262899
3,3,1,12,0.9994416274762451
3,3,1,13,0.9974484320634125
3,3,1,14,0.9988390402389479
3,3,1,15,0.9991738282957852
3,3,1,16,0.9982006352259365
3,3,1,17,0.9930942576688672
3,3,1,18,0.9948265835442639
3,3,1,19,0.9937462979346129
3,3,1,20,0.9928613569538774
3,3,1,21,0.9931224282868609
3,3,1,22,0.994215352262158
3,3,1,23,0.9955140004591809
3,3,1,24,0.9960073934302632
3,3,2,1,0.9969617827557538
3,3,2,2,0.9969880494763665
3,3,2,3,0.9975805281244678
3,3,2,4,0.9977143269659866
3,3,2,5,0.9977121726549155
3,3,2,6,0.995047011848047
3,3,2,7,0.9959449852738705
3,3,2,8,0.9999924394566033
3,3,2,9,0.9999923187180684
3,3,2,10,0.99828286068741
3,3,2,11,0.999001155203738
3,3,2,12,0.9984324890887045
3,3,2,13,0.9954310452041423
3,3,2,14,0.9960093330988313
3,3,2,15,0.998730329007443
3,3,2,16,0.9993769352577786
3,3,2,17,0.9958039518405519
3,3,2,18,0.9972829581378514
3,3,2,19,0.9962715307353082
3,3,2,20,0.9940604132637164
3,3,2,21,0.994510057980763
3,3,2,22,0.9948196745135266
3,3,2,23,0.9961442094337964
3,3,2,24,0.9967840353484463
3,3,3,1,0.9932041602477535
3,3,3,2,0.9932864632385154
3,3,3,3,0.9945538911603108
3,3,3,4,0.9950125407058408
3,3,3,5,0.9953977570688606
3,3,3,6,0.9909388898618097
3,3,3,7,0.9899161134015515
3,3,3,8,0.9935728458712013
3,3,3,9,0.9939297493446346
3,3,3,10,0.9920445514495955
3,3,3,11,0.9936228321394839
3,3,3,12,0.995050391405523
3,3,3,13,0.992502938487296
3,3,3,14,0.9937595813584924
3,3,3,15,0.9957674438721303
3,3,3,16,0.9945975145255302
3,3,3,17,0.9894886300570113
3,3,3,18,0.9915526557153036
3,3,3,19,0.9915183663256874
3,3,3,20,0.9889684377154174
3,3,3,21,0.990457915397721
3,3,3,22,0.991738608557562
3,3,3,23,0.994129479163679
3,3,3,24,0.9947872631028211
4,1,1,1,0.9945665512248878
4,1,1,2,0.993378852427437
4,1,1,3,0.9918973339309243
4,1,1,4,0.9903738016132161
4,1,1,5,0.9882691972025116
4,1,1,6,0.9803931144856816
4,1,1,7,0.9914933778313709
4,1,1,8,0.9930310270385376
4,1,1,9,0.9956929662918771
4,1,1,10,0.998421098248685
4,1,1,11,0.9997613258093654
4,1,1,12,0.9997872928061035
4,1,1,13,0.9997203875285572
4,1,1,14,0.9996710638931542
4,1,1,15,0.9992518221335309
4,1,1,16,0.9980668333680994
4,1,1,17,0.9966851459136239
4,1,1,18,0.9970370164499578
4,1,1,19,0.9945056397109947
4,1,1,20,0.9906342349314928
4,1,1,21,0.9909402378910285
4,1,1,22,0.9924008811637912
4,1,1,23,0.9941422983270686
4,1,1,24,0.9948018328425673
4,1,2,1,0.9960226746467359
4,1,2,2,0.9960370671329317
4,1,2,3,0.9968017361295046
4,1,2,4,0.9969725685270577
4,1,2,5,0.9969844004993013
4,1,2,6,0.9961889833725674
4,1,2,7,1.0005393619700886
4,1,2,8,1.0003043145436754
4,1,2,9,1.0000250491791385
4,1,2,10,0.9997971576555094
4,1,2,11,0.9992693721171252
4,1,2,12,0.9985006813632793
4,1,2,13,0.9971708007511699
4,1,2,14,0.9960626183573132
4,1,2,15,0.9986836510824153
4,1,2,16,0.9995767718728419
4,1,2,17,1.0001057298497027
4,1,2,18,1.0001669923920566
4,1,2,19,0.9977687439985417
4,1,2,20,0.992206688452451
4,1,2,21,0.9927665771801506
4,1,2,22,0.9931941318665825
4,1,2,23,0.9949648776360617
4,1,2,24,0.9958128985733472
4,1,3,1,0.9911102756678065
4,1,3,2,0.9911798649702409
4,1,3,3,0.9928183790995485
